DDI_number,Description
15,Drug a can cause a decrease in the absorption of Drug b resulting in a reduced serum concentration and potentially a decrease in efficacy.
57,Drug a can cause an increase in the absorption of Drug b resulting in an increased serum concentration and potentially a worsening of adverse effects.
62,The absorption of Drug b can be decreased when combined with Drug a.
27,The bioavailability of Drug b can be decreased when combined with Drug a.
77,The bioavailability of Drug b can be increased when combined with Drug a.
1,The metabolism of Drug b can be decreased when combined with Drug a.
8,The metabolism of Drug b can be increased when combined with Drug a.
76,The protein binding of Drug b can be decreased when combined with Drug a.
3,The serum concentration of Drug b can be decreased when it is combined with Drug a.
2,The serum concentration of Drug b can be increased when it is combined with Drug a.
26,The serum concentration of the active metabolites of Drug b can be increased when Drug b is used in combination with Drug a.
38,The serum concentration of the active metabolites of Drug b can be reduced when Drug b is used in combination with Drug a resulting in a loss in efficacy.
5,The therapeutic efficacy of Drug b can be decreased when used in combination with Drug a.
44,The therapeutic efficacy of Drug b can be increased when used in combination with Drug a.
12,Drug a may decrease the excretion rate of Drug b which could result in a higher serum level.
16,Drug a may decrease the cardiotoxic activities of Drug b.
46,Drug a may increase the cardiotoxic activities of Drug b.
75,Drug a may increase the central neurotoxic activities of Drug b.
60,Drug a may increase the hepatotoxic activities of Drug b.
22,Drug a may increase the nephrotoxic activities of Drug b.
65,Drug a may decrease effectiveness of Drug b as a diagnostic agent.
70,The risk of a hypersensitivity reaction to Drug b is increased when it is combined with Drug a.
0,The risk or severity of adverse effects can be increased when Drug a is combined with Drug b.
49,The risk or severity of bleeding can be increased when Drug a is combined with Drug b.
72,The risk or severity of heart failure can be increased when Drug b is combined with Drug a.
74,The risk or severity of hypertension can be increased when Drug b is combined with Drug a.
67,The risk or severity of hypotension can be increased when Drug a is combined with Drug b.
29,The risk or severity of QTc prolongation can be increased when Drug a is combined with Drug b.
79,Drug a may decrease the analgesic activities of Drug b.
45,Drug a may decrease the anticoagulant activities of Drug b.
10,Drug a may decrease the antihypertensive activities of Drug b.
33,Drug a may decrease the bronchodilatory activities of Drug b.
36,Drug a may decrease the diuretic activities of Drug b.
55,Drug a may decrease the neuromuscular blocking activities of Drug b.
25,Drug a may decrease the sedative activities of Drug b.
28,Drug a may decrease the stimulatory activities of Drug b.
40,Drug a may decrease the vasoconstricting activities of Drug b.
54,Drug a may increase the adverse neuromuscular activities of Drug b.
42,Drug a may increase the analgesic activities of Drug b.
37,Drug a may increase the anticholinergic activities of Drug b.
9,Drug a may increase the anticoagulant activities of Drug b.
23,Drug a may increase the antihypertensive activities of Drug b.
35,Drug a may increase the antiplatelet activities of Drug b.
53,Drug a may increase the antipsychotic activities of Drug b.
34,Drug a may increase the arrhythmogenic activities of Drug b.
20,Drug a may increase the atrioventricular blocking (AV block) activities of Drug b.
13,Drug a may increase the bradycardic activities of Drug b.
71,Drug a may increase the bronchoconstrictory activities of Drug b.
7,Drug a may increase the central nervous system depressant (CNS depressant) activities of Drug b.
69,Drug a may increase the central nervous system depressant (CNS depressant) and hypertensive activities of Drug b.
48,Drug a may increase the constipating activities of Drug b.
78,Drug a may increase the dermatologic adverse activities of Drug b.
31,Drug a may increase the fluid retaining activities of Drug b.
56,Drug a may increase the hypercalcemic activities of Drug b.
68,Drug a may increase the hyperglycemic activities of Drug b.
43,Drug a may increase the hyperkalemic activities of Drug b.
21,Drug a may increase the hypertensive activities of Drug b.
47,Drug a may increase the hypocalcemic activities of Drug b.
11,Drug a may increase the hypoglycemic activities of Drug b.
14,Drug a may increase the hypokalemic activities of Drug b.
50,Drug a may increase the hyponatremic activities of Drug b.
4,Drug a may increase the hypotensive activities of Drug b.
73,Drug a may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Drug b.
39,Drug a may increase the immunosuppressive activities of Drug b.
64,Drug a may increase the myelosuppressive activities of Drug b.
58,Drug a may increase the myopathic rhabdomyolysis activities of Drug b.
18,Drug a may increase the neuroexcitatory activities of Drug b.
30,Drug a may increase the neuromuscular blocking activities of Drug b.
24,Drug a may increase the orthostatic hypotensive activities of Drug b.
6,Drug a may increase the QTc-prolonging activities of Drug b.
41,Drug a may increase the respiratory depressant activities of Drug b.
17,Drug a may increase the sedative activities of Drug b.
19,Drug a may increase the serotonergic activities of Drug b.
61,Drug a may increase the stimulatory activities of Drug b.
32,Drug a may increase the tachycardic activities of Drug b.
52,Drug a may increase the thrombogenic activities of Drug b.
63,Drug a may increase the ulcerogenic activities of Drug b.
51,Drug a may increase the vasoconstricting activities of Drug b.
66,Drug a may increase the vasodilatory activities of Drug b.
59,Drug a may increase the vasopressor activities of Drug b.
